Unnamed: 0,Date,Close,High,Low,Open,Volume,Market_Label
0,1999-03-10,43.417274475097656,43.496987953326105,42.75299548986055,43.47041679391662,5232000,1
1,1999-03-11,43.629844665527344,43.98855532507949,42.77956754658893,43.73612930539465,9688600,1
2,1999-03-12,42.5670051574707,43.49699590685365,42.22158002198561,43.47042474258557,8743600,1
3,1999-03-15,43.789283752441406,43.84242608709243,42.43415421884037,42.88586406337405,6369000,1
4,1999-03-16,44.1612548828125,44.34725294790256,43.49697607891941,43.97525681772243,4905800,1
5,1999-03-17,43.8424186706543,44.214414950284095,43.7095628565008,44.16127262462269,3965000,1
6,1999-03-18,44.69269561767578,44.71926678034978,43.77599050542262,43.78927608675962,4848400,1
7,1999-03-19,43.55014419555664,45.27727010935236,43.52357302765209,45.27727010935236,7160400,1
8,1999-03-22,43.01871871948242,43.84242488396912,42.939005219693385,43.73614021758374,5024800,1
9,1999-03-23,41.504173278808594,42.93901665720531,41.42445975778656,42.77958961516123,10962400,1
10,1999-03-24,42.91243743896485,42.939008607657705,41.23845381131483,41.8761618599434,8447000,1
11,1999-03-25,44.48012924194336,44.48012924194336,43.29106963407182,43.576709651605206,8133800,1
12,1999-03-26,44.00185012817383,44.612986935509575,43.81585196941947,44.10813479031918,8256200,1
13,1999-03-29,45.59611511230469,45.622686274957545,44.26755697966178,44.53326860619036,5113800,1
14,1999-03-30,45.27726364135742,45.91497157996809,45.09126549259597,45.5429752824452,4940600,1
15,1999-03-31,44.612979888916016,46.07439376258509,44.48012408221882,46.021251439906216,8256600,1
16,1999-04-01,45.542964935302734,45.96810346445376,44.79897250928845,45.91496114830987,8715800,1
17,1999-04-05,47.19039535522461,47.25682327661429,45.99469277021048,46.28033283218608,5697200,1
18,1999-04-06,47.28338623046875,47.8015239272904,46.73867736970752,47.1372448288011,7522400,1
19,1999-04-07,46.79182434082031,47.82809983729504,45.78212001092186,47.721815170989935,11923600,1
20,1999-04-08,47.163822174072266,47.38967709715937,45.7555503007056,46.71211232789805,7952400,1
21,1999-04-09,47.45609664916992,47.56238130011991,46.95124455715747,47.08410037084496,4946800,1
22,1999-04-12,47.13725662231445,47.45611066936505,46.28697916351284,46.340121504687936,10934000,1
23,1999-04-13,46.499549865722656,47.53582554844448,46.12755346679688,47.42954086303711,9962200,1
24,1999-04-14,44.90526580810547,47.13724351691071,44.64619696690486,47.08410119051058,21253800,1
