Date,Unnamed: 0,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY,pct_change,trend,market_label
1/29/1993,0,24.52608299,24.54352686,24.42141976,24.54352686,1003200,,,Bear
2/1/1993,1,24.70050621,24.70050621,24.54351147,24.54351147,480500,0.007111744,,Bear
2/2/1993,2,24.75284767,24.77029154,24.6307406,24.6830722,201300,0.002119044,,Bear
2/3/1993,3,25.01450348,25.03194734,24.77028936,24.78773322,529400,0.010570736,,Bear
2/4/1993,4,25.11916351,25.1714951,24.82261783,25.10171965,531500,0.004183974,,Bear
2/5/1993,5,25.10172462,25.15405623,24.96217369,25.10172462,492100,-0.000694246,,Bear
2/8/1993,6,25.10172462,25.18894396,25.06683689,25.10172462,596100,0,,Bear
2/9/1993,7,24.92727852,25.01449783,24.87494693,25.01449783,122100,-0.006949567,,Bear
2/10/1993,8,24.96217918,24.97962305,24.85751596,24.92729144,379600,0.001400099,,Bear
2/11/1993,9,25.08428383,25.18894704,24.99706448,24.99706448,19500,0.004891586,,Bear
2/12/1993,10,24.89241028,25.04940516,24.89241028,25.04940516,42500,-0.007649154,,Bear
2/16/1993,11,24.26441574,24.82261941,24.22952801,24.82261941,374800,-0.025228354,,Bear
2/17/1993,12,24.24698257,24.29931419,24.15976321,24.26442645,210900,-0.000718466,,Bear
2/18/1993,13,24.22952652,24.5260722,23.89809311,24.5260722,378100,-0.000719927,,Bear
2/19/1993,14,24.31674576,24.31674576,24.19463871,24.22952644,34900,0.003599709,,Bear
2/22/1993,15,24.40396309,24.43885081,24.31674378,24.38651923,513600,0.003586719,,Bear
2/23/1993,16,24.38652992,24.49119314,24.26442283,24.47374927,373700,-0.000714358,,Bear
2/24/1993,17,24.70050621,24.70050621,24.40396058,24.40396058,26300,0.012874988,,Bear
2/25/1993,18,24.75284767,24.77029154,24.6307406,24.6830722,44500,0.002119044,,Bear
2/26/1993,19,24.78773308,24.80517694,24.66562602,24.80517694,66200,0.001409349,24.71359777,Bear
3/1/1993,20,24.71795464,24.87494941,24.68306691,24.87494941,66500,-0.002815039,24.72319136,Bear
3/2/1993,21,25.08428383,25.08428383,24.70051871,24.73540645,182400,0.014820368,24.74238024,Bear
3/3/1993,22,25.18893242,25.20637628,25.08426926,25.11915698,280100,0.004171879,24.76418447,Bear
3/4/1993,23,25.04939651,25.22383521,25.04939651,25.22383521,89500,-0.005539572,24.76592913,Bear
3/5/1993,24,24.97962379,25.18895025,24.96217992,25.08428702,40000,-0.002785405,24.75895214,Bear
3/8/1993,25,25.53782272,25.53782272,25.03195055,25.03195055,50800,0.02234617,24.78075705,Bear
3/9/1993,26,25.4506073,25.50293891,25.39827569,25.48549504,169300,-0.003415147,24.79820118,Bear
3/10/1993,27,25.50293541,25.50293541,25.3459406,25.4506038,194400,0.002056065,24.82698402,Bear
3/11/1993,28,25.43315125,25.59014601,25.39826352,25.52037056,70900,-0.002736319,24.85053263,Bear
3/12/1993,29,25.17150307,25.24127854,25.01450825,25.22383467,643600,-0.010287682,24.85489359,Bear
3/15/1993,30,25.29359627,25.29359627,25.15404539,25.15404539,310800,0.004850453,24.87495289,Bear
3/16/1993,31,25.29359627,25.36337171,25.29359627,25.29359627,30800,0,24.92641191,Bear
3/17/1993,32,25.13661766,25.25872476,25.10172992,25.25872476,21800,-0.006206259,24.97089367,Bear
3/18/1993,33,25.29359627,25.39825942,25.24126469,25.24126469,59300,0.006245017,25.02409716,Bear
3/19/1993,34,25.25533104,25.39554107,25.25533104,25.39554107,66900,-0.001512843,25.07102642,Bear
3/22/1993,35,25.11512756,25.16770634,24.99244376,25.00997002,183400,-0.005551441,25.10658464,Bear
3/23/1993,36,25.16770172,25.20275423,25.13264921,25.18522798,55200,0.002093326,25.14564323,Bear
3/24/1993,37,25.16770172,25.27285925,25.00996543,25.13264921,37200,0,25.16900301,Bear
3/25/1993,38,25.32543945,25.37801822,25.1501769,25.18522941,110100,0.006267467,25.1976326,Bear
3/26/1993,39,25.18521881,25.3254288,25.16769256,25.30790255,101500,-0.005536751,25.21750689,Bear
3/29/1993,40,25.29038239,25.41306615,25.20275112,25.20275112,87100,0.004175607,25.24612827,Bear
3/30/1993,41,25.36050034,25.36050034,25.29039529,25.32544781,56000,0.002772514,25.2599391,Bear
3/31/1993,42,25.34296799,25.5007043,25.34296799,25.43059927,111600,-0.000691325,25.26764088,Bear
4/1/1993,43,25.25533104,25.37801481,25.20275228,25.37801481,129500,-0.003458038,25.2779376,Bear
4/2/1993,44,24.7295475,25.04502011,24.7295475,25.04502011,59400,-0.020818715,25.26543379,Bear
4/5/1993,45,24.85221291,24.92231788,24.78210793,24.92231788,172200,0.004960277,25.2311533,Bear
4/6/1993,46,24.78212738,24.90481118,24.71202235,24.90481118,129700,-0.002820092,25.1977293,Bear
4/7/1993,47,24.86975098,24.86975098,24.76459347,24.81717222,28000,0.003535758,25.16607008,Bear
4/8/1993,48,24.834692,24.97490198,24.72953452,24.97490198,180800,-0.001409704,25.13614712,Bear
4/12/1993,49,25.18521881,25.20274506,25.04500882,25.08006132,348500,0.014114401,25.1368329,Bear
4/13/1993,50,25.23779678,25.32542802,25.15016554,25.16769179,146100,0.002087652,25.13404293,Bear
4/14/1993,51,25.20275307,25.27285808,25.18522681,25.25533183,119600,-0.001388541,25.12950077,Bear
4/15/1993,52,25.20275307,25.25533183,25.09759554,25.18522681,148600,0,25.13280754,Bear
4/16/1993,53,25.20275307,25.25533183,25.16770056,25.22027932,47900,0,25.12826538,Bear
4/19/1993,54,25.09759521,25.27285775,25.08006896,25.20275274,157000,-0.004172475,25.12037859,Bear
4/20/1993,55,24.97491264,25.09759642,24.81717635,25.06254392,279500,-0.00488822,25.11336784,Bear
4/21/1993,56,24.95737648,25.02748147,24.88727149,25.02748147,67900,-0.000702151,25.10285158,Bear
4/22/1993,57,24.64191246,25.06254254,24.64191246,24.8522275,97700,-0.012640111,25.07656212,Bear
4/23/1993,58,24.53674889,24.65943263,24.50169639,24.58932763,106000,-0.004267671,25.03712759,Bear
4/26/1993,59,24.3439579,24.64190411,24.27385291,24.55427287,62600,-0.007857234,24.99506454,Bear
4/27/1993,60,24.60686874,24.60686874,24.30892233,24.30892233,156800,0.01079984,24.96088886,Bear
4/28/1993,61,24.55428314,24.62438816,24.51923063,24.5718094,85900,-0.002137029,24.920578,Bear
4/29/1993,62,24.65942955,24.65942955,24.46664083,24.60685081,85000,0.004282202,24.88640108,Bear
4/30/1993,63,24.69448662,24.83469662,24.69448662,24.74706537,88500,0.00142165,24.85835886,Bear
5/3/1993,64,24.85221291,24.85221291,24.62437174,24.7295292,80500,0.006387105,24.86449213,Bear
5/4/1993,65,24.9398613,25.02749257,24.86975628,24.90480879,149100,0.003526784,24.86887455,Bear
5/5/1993,66,25.00997162,25.09760291,24.93986658,24.93986658,109000,0.002811175,24.88026676,Bear
5/6/1993,67,24.92232704,24.99243204,24.90480079,24.97490579,54700,-0.003504385,24.88289557,Bear
5/7/1993,68,24.86975098,24.93985598,24.83469847,24.93985598,68000,-0.002109597,24.88464851,Bear
5/10/1993,69,24.92232704,25.06253704,24.90480079,24.90480079,113900,0.002114057,24.87150393,Bear
5/11/1993,70,25.02750015,25.02750015,24.85223755,24.92234259,42600,0.004220036,24.86098909,Bear
5/12/1993,71,24.99242973,25.00995598,24.92232474,24.92232474,31000,-0.001401275,24.85047293,Bear
5/13/1993,72,24.69448662,24.88727537,24.67696037,24.88727537,129100,-0.011921335,24.8250596,Bear
