Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
1993-01-29,24.52606964111328,24.543513502877943,24.421406470525316,24.543513502877943,1003200
1993-02-01,24.700523376464844,24.700523376464844,24.543528524495787,24.543528524495787,480500
1993-02-02,24.75284194946289,24.77028581271128,24.63073490672417,24.683066496469337,201300
1993-02-03,25.014493942260742,25.031937801355763,24.77027991493044,24.787723774025462,529400
1993-02-04,25.119163513183594,25.17149510383606,24.82261783281962,25.101719649632773,531500
1993-02-05,25.101730346679688,25.154061959633154,24.962179378803775,25.101730346679688,492100
1993-02-08,25.101730346679688,25.188949701602134,25.066842604710708,25.101730346679688,596100
1993-02-09,24.927268981933594,25.014488257587665,24.87493741654115,25.014488257587665,122100
1993-02-10,24.96218490600586,24.97962878085282,24.85752165692407,24.92729715631193,379600
1993-02-11,25.084280014038086,25.188943212984,24.997060681583154,24.997060681583154,19500
1993-02-12,24.89240837097168,25.0494032380626,24.89240837097168,25.0494032380626,42500
1993-02-16,24.264421463012695,24.822625263743397,24.22953372546703,24.822625263743397,374800
1993-02-17,24.246986389160156,24.2993180144605,24.15976701365958,24.26443026426027,210900
1993-02-18,24.229520797729492,24.526066408644827,23.898087467882938,24.526066408644827,378100
1993-02-19,24.31673240661621,24.31673240661621,24.194625428964624,24.229513136865076,34900
1993-02-22,24.403968811035156,24.438856543431204,24.31674948004504,24.386524944837134,513600
1993-02-23,24.386520385742188,24.4911835633634,24.264413345184106,24.47373970042653,373700
1993-02-24,24.700523376464844,24.700523376464844,24.403977544967738,24.403977544967738,26300
1993-02-25,24.75284194946289,24.77028581271128,24.63073490672417,24.683066496469337,44500
1993-02-26,24.787742614746094,24.805186487099892,24.665635508269514,24.805186487099892,66200
1993-03-01,24.717966079711914,24.874960924254896,24.68307833648014,24.874960924254896,66500
1993-03-02,25.084280014038086,25.084280014038082,24.70051495123639,24.73540268421836,182400
1993-03-03,25.188945770263672,25.20638963852563,25.08428256069194,25.11917029721585,280100
1993-03-04,25.049388885498047,25.223827526761962,25.049388885498047,25.223827526761962,89500
1993-03-05,24.9796142578125,25.188940634274616,24.962170393107325,25.084277446043558,40000
1993-03-08,25.537830352783203,25.537830352783207,25.031958030221244,25.031958030221244,50800
1993-03-09,25.45060157775879,25.502933177987217,25.398269977530358,25.485489311244407,169300
1993-03-10,25.502933502197266,25.502933502197266,25.34593869951616,25.450601901303564,194400
1993-03-11,25.43315315246582,25.590147925011905,25.398265425233358,25.52037247054698,70900
1993-03-12,25.171499252319336,25.241274718022233,25.014504454487824,25.223830851596507,643600
1993-03-15,25.293611526489258,25.293611526489258,25.15406056634311,25.15406056634311,310800
1993-03-16,25.293611526489258,25.36338700656233,25.293611526489258,25.293611526489258,30800
1993-03-17,25.1365966796875,25.258703672579806,25.101708967432558,25.258703672579806,21800
1993-03-18,25.293611526489258,25.39827474659887,25.24127991643445,25.24127991643445,59300
1993-03-19,25.255319595336914,25.39552955839222,25.255319595336914,25.39552955839222,66900
1993-03-22,25.115108489990234,25.167687223744576,24.992424777896773,25.00995102248155,183400
1993-03-23,25.16768455505371,25.20273704050643,25.132632069600987,25.18521079778007,55200
1993-03-24,25.16768455505371,25.27284201141187,25.009948370516465,25.132632069600987,37200
1993-03-25,25.325435638427734,25.378014397538657,25.15017310805799,25.18522561413194,110100
1993-03-26,25.18521499633789,25.325424961522796,25.16768875068978,25.307898715874682,101500
1993-03-29,25.290382385253906,25.41306615288854,25.202751122657737,25.202751122657737,87100
1993-03-30,25.360492706298828,25.360492706298828,25.290387681540572,25.3254401939197,56000
1993-03-31,25.34296226501465,25.500698544672417,25.34296226501465,25.430593531491187,111600
1993-04-01,25.255319595336914,25.378003313010307,25.202740859191174,25.378003313010307,129500
1993-04-02,24.729549407958984,25.04502204392161,24.729549407958984,25.04502204392161,59400
1993-04-05,24.852230072021484,24.922335093381207,24.78212505066176,24.922335093381207,172200
1993-04-06,24.78211784362793,24.904801595329058,24.712012842655856,24.904801595329058,129700
1993-04-07,24.86975860595703,24.86975860595703,24.764601064282793,24.817179835119912,28000
1993-04-08,24.834699630737305,24.974909649824035,24.729542116422255,24.974909649824035,180800
1993-04-12,25.18521499633789,25.202741241986004,25.045005031152993,25.080057522449216,348500
1993-04-13,25.2377986907959,25.325429936250053,25.150167445341747,25.16769369443258,146100
1993-04-14,25.202747344970703,25.272852344539466,25.18522109507851,25.255326094647273,119600
1993-04-15,25.202747344970703,25.255326094647273,25.097589845617556,25.18522109507851,148600
1993-04-16,25.202747344970703,25.255326094647273,25.16769484518632,25.220273594862892,47900
1993-04-19,25.09758758544922,25.27285006858783,25.080061337135355,25.202745075332384,157000
1993-04-20,24.97491455078125,25.097598341557017,24.817178248355262,25.062545829906796,279500
1993-04-21,24.957386016845703,25.02749103374696,24.887280999944455,25.02749103374696,67900
1993-04-22,24.641916275024414,25.062546424811458,24.64191627502441,24.852231349917936,97700
1993-04-23,24.53673553466797,24.659419212341312,24.50168305533273,24.589314253670832,106000
1993-04-26,24.34395408630371,24.641900248627085,24.273849106933508,24.554269024414328,62600
1993-04-27,24.606857299804688,24.606857299804684,24.308911021958046,24.308911021958046,156800
1993-04-28,24.554275512695312,24.624380510590232,24.519223013747855,24.57180176216904,85900
1993-04-29,24.659433364868164,24.659433364868164,24.466644617879144,24.60685461568934,85000
1993-04-30,24.694494247436523,24.834704292844254,24.694494247436523,24.747073014464423,88500
1993-05-03,24.852230072021484,24.852230072021484,24.62438875260239,24.729546284641973,80500
1993-05-04,24.93985366821289,25.027484917925516,24.869748668442792,24.904801168327843,149100
1993-05-05,25.009973526000977,25.09760482777393,24.939868484582615,24.939868484582615,109000
1993-05-06,24.922332763671875,24.992437778478262,24.904806509970275,24.974911524776665,54700
1993-05-07,24.86975860595703,24.939863633739854,24.83470609206562,24.939863633739854,68000
1993-05-10,24.922332763671875,25.062542793284656,24.904806509970275,24.904806509970275,113900
1993-05-11,25.027490615844727,25.027490615844727,24.852228076518085,24.922333092248742,42600
1993-05-12,24.992427825927734,25.009954072649986,24.92232283903874,24.92232283903874,31000
1993-05-13,24.694494247436523,24.887283059872154,24.676967991760556,24.887283059872154,129100
1993-05-14,24.676959991455078,24.764591241424736,24.659433741461147,24.69448624144901,63500
1993-05-17,24.764602661132812,24.76460266113281,24.641918854602075,24.74707640305699,34000
1993-05-18,24.7470703125,24.799649073787183,24.65943904368803,24.78212282002479,105200
1993-05-19,25.255319595336914,25.255319595336914,24.589322270824212,24.74705847926143,50200
1993-05-20,25.325435638427734,25.325435638427734,25.202751867168914,25.255330626279836,98200
1993-05-21,25.09758758544922,25.378007558470994,25.080061337135355,25.342955061843274,221400
1993-05-24,25.202747344970703,25.290378594431658,25.15016859529413,25.15016859529413,30500
1993-05-25,25.255319595336914,25.307898331482654,25.255319595336914,25.307898331482654,191800
1993-05-26,25.57080841064453,25.588334667265944,25.307914561323305,25.32544081794472,102400
1993-05-27,25.483165740966797,25.605849482498275,25.448113243386373,25.605849482498275,53800
1993-05-28,25.360492706298828,25.46565024343621,25.237808912971882,25.46565024343621,79100
1993-06-01,25.605857849121094,25.69348912170535,25.413069049435716,25.44812155846942,28300
1993-06-02,25.57080841064453,25.658439693751607,25.43059835767321,25.5357558974017,20300
1993-06-03,25.483165740966797,25.51821823854722,25.430586994596165,25.51821823854722,21600
1993-06-04,25.395530700683594,25.41305694685384,25.29037322366213,25.41305694685384,32000
1993-06-07,25.30790901184082,25.448119034067087,25.30790901184082,25.448119034067087,121400
1993-06-08,25.080076217651367,25.23781254606427,25.080076217651367,25.23781254606427,104500
1993-06-09,25.16768455505371,25.27284201141187,25.132632069600987,25.167684555053707,43300
1993-06-10,25.18521499633789,25.202741241986004,25.09758376809733,25.150162505041667,17900
1993-06-11,25.290382385253906,25.32543489029237,25.1852248701385,25.27285613273467,647400
1993-06-14,25.255319595336914,25.34295082224648,25.255319595336914,25.325424576864567,64200
1993-06-15,25.202747344970703,25.307904844323847,25.2027473449707,25.290378594431658,142400
1993-06-16,25.255319595336914,25.255319595336914,25.13263587766352,25.202740859191174,330900
1993-06-17,25.34296226501465,25.34296226501465,25.25533099853811,25.307909758424035,37400
1993-06-18,25.13427734375,25.328432576040207,25.13427734375,25.328432576040207,58500
1993-06-21,25.187227249145508,25.204877723741966,25.151926299952592,25.204877723741966,29300
1993-06-22,25.204864501953125,25.22251496729063,25.169563571278122,25.22251496729063,137500
1993-06-23,24.975412368774414,25.20486845414125,24.975412368774414,25.20486845414125,227600
1993-06-24,25.310760498046875,25.31076049804688,25.046003589071493,25.046003589071493,243700
1993-06-25,25.293107986450195,25.363709823118583,25.2754575272831,25.293107986450195,44800
1993-06-28,25.575511932373047,25.575511932373047,25.38135690735158,25.416657820991848,439900
1993-06-29,25.45196533203125,25.540217639007782,25.41666440924064,25.540217639007782,207500
1993-06-30,25.45196533203125,25.540217639007782,25.41666440924064,25.48726625482186,437600
1993-07-01,25.381362915039062,25.48726568102671,25.346061993043183,25.48726568102671,605700
1993-07-02,25.24016761779785,25.310769485260224,25.151915283469886,25.29311901839463,285400
1993-07-06,24.975412368774414,25.275470326561813,24.940111432564134,25.20486845414125,246400
1993-07-07,25.046018600463867,25.081319542818292,24.957766244577808,24.957766244577808,343700
1993-07-08,25.328418731689453,25.381370129734794,25.028360809432503,25.063661741462735,248200
1993-07-09,25.399028778076172,25.399028778076175,25.275475476167532,25.328426891271235,378200
1993-07-12,25.381362915039062,25.399013376037004,25.32841153204524,25.363712454041124,373700
1993-07-13,25.363712310791016,25.46961507618054,25.222508623604984,25.399013232587524,389600
1993-07-14,25.45196533203125,25.522567177612476,25.36371302505472,25.381363486450027,617300
1993-07-15,25.34606170654297,25.434314010535108,25.293110324147683,25.434314010535108,443800
1993-07-16,25.27546501159668,25.381367797958116,25.24016408280953,25.363717333564544,216400
1993-07-19,25.25782585144043,25.27547632373354,25.18722396226799,25.27547632373354,188200
1993-07-20,25.328418731689453,25.328418731689453,25.116613139508075,25.24016640161388,68500
1993-07-21,25.310760498046875,25.31076049804688,25.22250819505508,25.293110037448518,142700
1993-07-22,25.13427734375,25.31078210037746,25.13427734375,25.275481149051966,632400
1993-07-23,25.25782585144043,25.257825851440426,25.169573489974876,25.18722396226799,286200
1993-07-26,25.399028778076172,25.451980193179878,25.328426891271235,25.328426891271235,121300
1993-07-27,25.381362915039062,25.434314298032888,25.29311061004936,25.416663837034946,92800
1993-07-28,25.328418731689453,25.381370129734794,25.29311779965922,25.328418731689453,30800
1993-07-29,25.469614028930664,25.5402158696207,25.3460608077231,25.381361728068118,331000
