,Date,Close,High,Low,Open,Volume
0,1999-03-10,43.41729736328125,43.49701088353208,42.753018027857735,43.47043971011514,5232000
1,1999-03-11,43.62986373901367,43.98857455538194,42.77958624836298,43.736148425345014,9688600
2,1999-03-12,42.56699752807617,43.49698811077446,42.221572454502514,43.470416951268795,8743600
3,1999-03-15,43.78927230834961,43.84241462911217,42.434143128904324,42.885852855386084,6369000
4,1999-03-16,44.16128158569336,44.347279763250434,43.497002380132386,43.975283408136285,4905800
5,1999-03-17,43.84241485595703,44.214411103219696,43.70955905336322,44.16126878218217,3965000
6,1999-03-18,44.69270706176758,44.71927823124544,43.77600171478126,43.78928729952019,4848400
7,1999-03-19,43.550148010253906,45.27727407533414,43.5235768400219,45.27727407533414,7160400
8,1999-03-22,43.01871109008789,43.84241710848982,42.93899760443609,43.73613246095409,5024800
9,1999-03-23,41.504146575927734,42.93898903117748,41.424433106191636,42.77956209170529,10962400
10,1999-03-24,42.91244125366211,42.939012424717006,41.23845747720346,41.87616558252104,8447000
11,1999-03-25,44.480133056640625,44.480133056640625,43.291073346793155,43.576713388823556,8133800
12,1999-03-26,44.0018310546875,44.612967597113716,43.815832976557786,44.10811567076163,8256200
13,1999-03-29,45.59612274169922,45.62269390879811,44.2675643867546,44.53327605774352,5113800
14,1999-03-30,45.27727127075195,45.914979316818886,45.0912730906491,45.54298295661317,4940600
15,1999-03-31,44.612979888916016,46.07439376258509,44.48012408221882,46.021251439906216,8256600
16,1999-04-01,45.542972564697266,45.96811116506783,44.798980014048766,45.91496884002151,8715800
17,1999-04-05,47.190391540527344,47.256819456547234,45.99468905216939,46.2803290910549,5697200
18,1999-04-06,47.283382415771484,47.80152007079118,46.73867359895591,47.137241025894134,7522400
19,1999-04-07,46.79182815551758,47.828103736474525,45.78212374330311,47.72181906150458,11923600
20,1999-04-08,47.16382598876953,47.3896809301242,45.75555400149923,46.712116106060186,7952400
21,1999-04-09,47.45611572265625,47.56240041632402,46.951263427734375,47.08411929481908,4946800
22,1999-04-12,47.13723373413086,47.456087626357224,46.28695668819389,46.340099003564944,10934000
23,1999-04-13,46.4995231628418,47.53579825047085,46.12752697753906,47.42951362609863,9962200
24,1999-04-14,44.90524673461914,47.13722349539311,44.64617800345788,47.08408119156516,21253800
25,1999-04-15,45.51640319824219,45.589473898064234,43.47042360322488,45.064693417524076,17650600
26,1999-04-16,44.187843322753906,45.4101168001121,43.94870285979252,45.4101168001121,17274000
27,1999-04-19,42.11530685424805,44.852137520486245,41.670239731340374,44.480141119249986,19460600
28,1999-04-20,43.07185363769531,43.41727874398158,41.53072624041812,41.92929367074843,17413600
29,1999-04-21,45.19755935668945,45.22413052621131,42.88586760828735,43.47043333776834,10940400
30,1999-04-22,46.41981887817383,46.55267468492303,45.32375847249285,45.62268403767857,13630600
31,1999-04-23,47.03095245361328,47.37637752813135,45.702394474697655,46.18067534710728,7064400
32,1999-04-26,48.113746643066406,48.46581464970489,47.197041267290736,47.34982549658668,5421000
33,1999-04-27,47.37638854980469,48.70494683779697,46.7718945287682,48.465806345958356,16482800
34,1999-04-28,45.75553894042969,47.137239303323035,45.54961244403693,46.9778123383738,7676800
35,1999-04-29,45.383548736572266,45.80868736642306,44.42698681940798,45.542975722766315,19148200
