Date,PPI
1913-01-01,
1913-02-01,
1913-03-01,
1913-04-01,
1913-05-01,
1913-06-01,
1913-07-01,
1913-08-01,
1913-09-01,
1913-10-01,
1913-11-01,
1913-12-01,
1914-01-01,-2.4793388429751984
1914-02-01,-1.6666666666666607
1914-03-01,-2.500000000000002
1914-04-01,-2.500000000000002
1914-05-01,-2.5210084033613467
1914-06-01,-2.5210084033613467
1914-07-01,-3.3333333333333326
1914-08-01,0.0
1914-09-01,-0.8196721311475419
1914-10-01,-4.098360655737709
1914-11-01,-3.3057851239669422
1914-12-01,-2.5210084033613467
1915-01-01,0.0
1915-02-01,0.0
1915-03-01,0.8547008547008739
1915-04-01,0.8547008547008739
1915-05-01,2.586206896551735
1915-06-01,1.7241379310344973
1915-07-01,2.586206896551735
1915-08-01,-1.6666666666666607
1915-09-01,-2.4793388429751984
1915-10-01,3.418803418803429
1915-11-01,5.128205128205132
1915-12-01,10.344827586206895
1916-01-01,12.71186440677965
1916-02-01,14.406779661016934
1916-03-01,17.796610169491522
1916-04-01,19.491525423728806
1916-05-01,19.327731092436974
1916-06-01,21.18644067796609
1916-07-01,21.00840336134453
1916-08-01,24.576271186440657
1916-09-01,27.118644067796605
1916-10-01,29.75206611570247
1916-11-01,36.58536585365852
1916-12-01,33.59375
1917-01-01,32.33082706766916
1917-02-01,33.33333333333333
1917-03-01,33.09352517985611
1917-04-01,39.71631205673758
1917-05-01,46.47887323943662
1917-06-01,46.85314685314685
1917-07-01,47.22222222222221
1917-08-01,46.25850340136055
1917-09-01,42.000000000000014
1917-10-01,34.39490445859874
1917-11-01,26.190476190476186
1917-12-01,23.976608187134495
1918-01-01,22.72727272727273
1918-02-01,17.22222222222223
1918-03-01,17.83783783783783
1918-04-01,12.182741116751284
1918-05-01,6.25
1918-06-01,5.714285714285716
1918-07-01,7.0754716981132
1918-08-01,7.906976744186034
1918-09-01,11.267605633802802
1918-10-01,11.374407582938373
1918-11-01,10.8490566037736
1918-12-01,10.8490566037736
1919-01-01,7.407407407407396
1919-02-01,6.16113744075828
1919-03-01,3.669724770642202
1919-04-01,3.6199095022624306
1919-05-01,5.429864253393668
1919-06-01,5.405405405405395
1919-07-01,7.048458149779746
1919-08-01,7.3275862068965525
1919-09-01,2.5316455696202667
1919-10-01,3.8297872340425476
1919-11-01,5.957446808510625
1919-12-01,10.63829787234043
1920-01-01,17.24137931034482
1920-02-01,20.98214285714286
1920-03-01,20.79646017699115
1920-04-01,24.45414847161573
1920-05-01,23.605150214592264
1920-06-01,22.649572649572658
1920-07-01,17.695473251028805
1920-08-01,11.646586345381538
1920-09-01,10.288065843621407
1920-10-01,2.049180327868849
1920-11-01,-7.630522088353409
1920-12-01,-19.999999999999996
1921-01-01,-27.941176470588225
1921-02-01,-33.21033210332103
1921-03-01,-35.164835164835175
1921-04-01,-40.35087719298246
1921-05-01,-42.36111111111111
1921-06-01,-43.90243902439024
1921-07-01,-43.70629370629371
1921-08-01,-42.086330935251794
1921-09-01,-39.92537313432835
1921-10-01,-34.93975903614458
1921-11-01,-29.565217391304355
1921-12-01,-23.076923076923084
1922-01-01,-19.897959183673475
1922-02-01,-11.602209944751385
1922-03-01,-9.6045197740113
